ลำดับ,ชื่อหน่วยงาน/องค์กร/คำทางการ,หมวดหมู่
1,คณะกรรมการการเลือกตั้ง,คณะกรรมการ
2,กระทรวงกลาโหม,กระทรวง
3,กระทรวงเกษตรและสหกรณ์,กระทรวง
4,กระทรวงคมนาคม,กระทรวง
5,กระทรวงการคลัง,กระทรวง
6,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,กระทรวง
7,กระทรวงการต่างประเทศ,กระทรวง
8,การทางพิเศษแห่งประเทศไทย,หน่วยงานรัฐสภา
9,กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม,กระทรวง
10,กระทรวงการท่องเที่ยวและกีฬา,กระทรวง
11,พลเอก กนิษฐ์ ชาญปรีชญา,หน่วยงานรัฐสภา
12,สำนักงานคณะกรรมการข้าราชการพลเรือน,คณะกรรมการ
13,กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,กระทรวง
14,สำนักงานคณะกรรมการการพัฒนาระบบราชการ,คณะกรรมการ
15,กระทรวงพลังงาน,กระทรวง
16,กระทรวงพาณิชย์,กระทรวง
17,(คณะกรรมาธิการเข้าประจำที่),คณะกรรมาธิการ
18,กระทรวงมหาดไทย,กระทรวง
19,กระทรวงยุติธรรม,กระทรวง
20,นายกรรณภว์ ธนภรรคภวิน,หน่วยงานรัฐสภา
21,กระทรวงแรงงาน,กระทรวง
22,สำนักงานคณะกรรมการกฤษฎีกา,คณะกรรมการ
23,พลตรี กลชัย สุวรรณบูรณ์,หน่วยงานรัฐสภา
24,นายกล้านรงค์ จันทิก,หน่วยงานรัฐสภา
25,กระทรวงวัฒนธรรม,กระทรวง
26,คณะกรรมการตุลาการศาลปกครอง,คณะกรรมการ
27,กระทรวงศึกษาธิการ,กระทรวง
28,นายกษิดิศ อาชวคุณ,หน่วยงานรัฐสภา
29,คณะกรรมการสิทธิมนุษยชนแห่งชาติ,คณะกรรมการ
30,กระทรวงสาธารณสุข,กระทรวง
31,นางกอบกุล อาภากร ณ อยุธยา,หน่วยงานรัฐสภา
32,กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร,หน่วยงานรัฐสภา
33,กระทรวงการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรม,กระทรวง
34,ศาสตราจารย์พิเศษกาญจนารัตน์ ลีวิโรจน์,หน่วยงานรัฐสภา
35,นายกำพล เลิศเกียรติดำรงค์,หน่วยงานรัฐสภา
36,นายกิตติ วะสีนนท์,หน่วยงานรัฐสภา
37,นายกิตติศักดิ์ รัตนวราหะ,หน่วยงานรัฐสภา
38,นายกูรดิสถ์ จันทร์ศรีชวาลา,หน่วยงานรัฐสภา
39,(เจ้าหน้าที่ได้เก็บเอกสารลับและรายงานลับคืนจากสมาชิก),หน่วยงานรัฐสภา
40,(เจ้าหน้าที่ได้เก็บรายงานลับคืนจากสมาชิก),หน่วยงานรัฐสภา
41,(เจ้าหน้าที่ได้เก็บเอกสารลับคืนจากสมาชิก),หน่วยงานรัฐสภา
42,นายเกียว แก้วสุทอ,หน่วยงานรัฐสภา
43,ศาสตราจารย์เกียรติคุณไกรสิทธิ์ ตันติศิรินทร์,หน่วยงานรัฐสภา
44,นายขวัญชาติ วงศ์ศุภรานันต์,หน่วยงานรัฐสภา
45,(คณะกรรมการตรวจนับคะแนนเข้าประจำที่),คณะกรรมการ
46,คณะกรรมาธิการการกฎหมาย การยุติธรรมและการตำรวจ,คณะกรรมาธิการ
47,คณะกรรมาธิการการพัฒนาการเมืองและการมีส่วนร่วมของประชาชน,คณะกรรมาธิการ
48,คณะกรรมาธิการวิสามัญกิจการวุฒิสภา,คณะกรรมาธิการ
49,คณะกรรมาธิการการกีฬา,คณะกรรมาธิการ
50,คณะกรรมาธิการการเกษตรและสหกรณ์,คณะกรรมาธิการ
51,คณะกรรมาธิการการคมนาคม,คณะกรรมาธิการ
52,คณะกรรมการตรวจเงินแผ่นดิน,คณะกรรมการ
53,คณะกรรมาธิการการต่างประเทศ,คณะกรรมาธิการ
54,คณะกรรมาธิการการติดตามการบริหารงบประมาณ,คณะกรรมาธิการ
55,คณะกรรมาธิการการทหารและความมั่นคงของรัฐ,คณะกรรมาธิการ
56,คณะกรรมาธิการการท่องเที่ยว,คณะกรรมาธิการ
57,คณะกรรมาธิการการเทคโนโลยีสารสนเทศการสื่อสารและการโทรคมนาคม,คณะกรรมาธิการ
58,คณะกรรมาธิการศึกษาตรวจสอบเรื่องทุจริตประพฤติมิชอบและเสริมสร้างธรรมาภิบาล,คณะกรรมาธิการ
59,คณะกรรมาธิการการบริหารราชการแผ่นดิน,คณะกรรมาธิการ
60,คณะกรรมาธิการการปกครองท้องถิ่น,คณะกรรมาธิการ
61,คณะกรรมาธิการการพลังงาน,คณะกรรมาธิการ
